Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
2006,1,16,San Jose Sharks,Ty Wishart\wishaty01,CA,D,18,2012,Prince George,WHL,x,26,1,5,6,5,10
2007,1,16,Minnesota Wild,Colton Gillies\gillico01,CA,LW,18,2013,Saskatoon,WHL,x,154,6,12,18,-12,72
2008,1,16,Boston Bruins,Joe Colborne\colbojo01,CA,C,18,2017,Camrose,AJHL,x,295,42,72,114,-38,144
2009,1,16,Minnesota Wild,Nick Leddy\leddyni01,US,D,18,2020,Eden Prairie,High-MN,x,720,63,242,305,-27,137
2010,1,16,St. Louis Blues,Vladimir Tarasenko\tarasvl01,RU,RW,18,2020,Novosibirsk,Russia,x,507,214,214,428,75,145
2006,1,17,Los Angeles Kings,Trevor Lewis\lewistr01,US,C,19,2020,Des Moines,USHL,x,674,70,93,163,-43,171
2007,1,17,New York Rangers,Alexei Cherepanov,RU,RW,18,,Avangard Omsk,,,,,,,,
2008,1,17,Anaheim Ducks,Jake Gardiner\gardija01,US,D,18,2020,Minnetonka,High-MN,x,619,49,220,269,-15,215
2009,1,17,St. Louis Blues,David Rundblad\rundbda01,SE,D,18,2016,Skelleftea,Sweden,x,113,4,21,25,-6,30
2010,1,17,Colorado Avalanche,Joey Hishon\hishojo01,CA,C,18,2015,Owen Sound,OHL,x,13,1,1,2,-1,0
2006,1,18,Colorado Avalanche,Chris Stewart\stewach02,CA,RW,18,2020,Kingston,OHL,x,668,160,162,322,-52,750
2007,1,18,St. Louis Blues,Ian Cole\coleia01,US,D,18,2020,U.S. National U-18,USNTDP,x,541,26,112,138,95,507
2008,1,18,Nashville Predators,Chet Pickard,CA,G,18,,Tri-City,WHL,,,,,,,
2009,1,18,Montreal Canadiens,Louis Leblanc\leblalo01,CA,C,18,2014,Omaha,USHL,x,50,5,5,10,4,32
2010,1,18,Nashville Predators,Austin Watson\watsoau01,US,LW,18,2020,Peterborough,OHL,x,306,36,41,77,12,358
2006,1,19,Anaheim Ducks,Mark Mitera,US,D,18,,Michigan,CCHA,,,,,,,
2007,1,19,Anaheim Ducks,Logan MacMillan,CA,C,18,,Halifax,QMJHL,,,,,,,
2008,1,19,Philadelphia Flyers,Luca Sbisa\sbisalu01,IT,D,18,2020,Lethbridge,WHL,x,548,20,93,113,-18,385
