Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
1993,1,16,Edmonton Oilers,Nick Stajduhar\stajdni01,CA,D,18,1996,London,OHL,x,2,0,0,0,2,4
1994,1,16,Toronto Maple Leafs,Eric Fichaud\fichaer01,CA,G,18,2001,Chictoutimi,QMJHL,x,95,0,1,1,0,4
1995,1,16,Buffalo Sabres,Martin Biron\bironma01,CA,G,18,2014,Beauport,QMJHL,x,508,0,14,14,0,81
1996,1,16,Tampa Bay Lightning,Mario Larocque\larocma01,CA,D,18,1999,Hull,QMJHL,x,5,0,0,0,-4,16
1997,1,16,Chicago Blackhawks,Ty Jones\jonesty01,US,RW,18,2004,Spokane,WHL,x,14,0,0,0,-1,19
1998,1,16,Montreal Canadiens,Eric Chouinard\chouier01,US,LW,18,2006,Quebec,QMJHL,x,90,11,11,22,-8,16
1999,1,16,Carolina Hurricanes,David Tanabe\tanabda01,US,D,19,2008,Wisconsin,WCHA,x,449,30,84,114,-47,245
2000,1,16,Montreal Canadiens,Marcel Hossa\hossama02,CS,LW,18,2008,Portland,WHL,x,237,31,30,61,-6,106
2001,1,16,Vancouver Canucks,R.J. Umberger\umberrj01,US,C,19,2016,Ohio State,CCHA,x,779,180,212,392,-64,312
2002,1,16,Ottawa Senators,Jakub Klepis\klepija01,CS,C,18,2007,Portland,WHL,x,66,4,10,14,-13,36
2003,1,16,San Jose Sharks,Steve Bernier\bernist01,CA,RW,18,2018,Moncton,QMJHL,x,637,105,125,230,-15,300
2004,1,16,New York Islanders,Petteri Nokelainen\nokelpe01,FI,C,18,2012,SaiPa,Finland,x,245,20,21,41,-14,103
2005,1,16,Atlanta Thrashers,Alex Bourret,CA,RW,18,,Lewiston,QMJHL,,,,,,,
1993,1,17,Washington Capitals,Jason Allison\allisja02,CA,C,18,2006,London,OHL,x,552,154,331,485,17,441
1994,1,17,Buffalo Sabres,Wayne Primeau\primewa01,CA,C,18,2010,Owen Sound,OHL,x,774,69,125,194,-95,789
1995,1,17,Washington Capitals,Brad Church\churcbr01,CA,LW,18,1998,Prince Albert,WHL,x,2,0,0,0,0,0
1996,1,17,Washington Capitals,Jaroslav Svejkovsky\svejkja01,CS,RW,19,2000,Tri-City,WHL,x,113,23,19,42,-22,56
1997,1,17,Pittsburgh Penguins,Robert Dome\domero01,CS,RW,18,2003,Las Vegas,IHL,x,53,7,7,14,0,12
1998,1,17,Colorado Avalanche,Martin Skoula\skoulma01,CS,D,18,2010,Barrie,OHL,x,776,44,152,196,16,328
1999,1,17,St. Louis Blues,Barret Jackman\jackmba01,CA,D,18,2016,Regina,WHL,x,876,29,157,186,54,1102
2000,1,17,Edmonton Oilers,Alexei Mikhnov\mikhnal01,SU,LW,18,2007,Torpedo Yaroslavl 2,Russia-2,x,2,0,0,0,0,0
2001,1,17,Toronto Maple Leafs,Carlo Colaiacovo\colaica01,CA,D,18,2016,Erie,OHL,x,470,34,123,157,-6,231
2002,1,17,Washington Capitals,Boyd Gordon\gordobo01,CA,C,18,2017,Red Deer,WHL,x,706,56,105,161,-26,149
2003,1,17,New Jersey Devils,Zach Parise\parisza01,US,LW,19,2020,North Dakota,WCHA,x,1015,386,406,792,71,378
2004,1,17,St. Louis Blues,Marek Schwarz\schwama01,CS,G,18,2009,Sparta Praha,Czech,x,6,0,0,0,0,0
2005,1,17,Phoenix Coyotes,Martin Hanzal\hanzama01,CS,C,18,2019,Ceske Budejovice,Czech-2,x,673,127,211,338,-43,574
1993,1,18,Calgary Flames,Jesper Mattsson,SE,,,,Malmo,Sweden,,,,,,,
1994,1,18,Montreal Canadiens,Brad Brown\brownbr01,CA,D,18,2004,North Bay,OHL,x,330,2,27,29,-16,747
1995,1,18,New Jersey Devils,Petr Sykora\sykorpe01,CS,RW,18,2012,Detroit,OHL,x,1017,323,398,721,58,455
1996,1,18,Montreal Canadiens,Matt Higgins\higgima01,CA,C,18,2001,Moose Jaw,WHL,x,57,1,2,3,-11,6
1997,1,18,Anaheim Ducks,Michael Holmqvist\holmqmi01,SE,C,18,2007,Djurgarden,Sweden,x,156,18,17,35,-25,72
1998,1,18,Buffalo Sabres,Dmitri Kalinin\kalindm01,SU,D,18,2009,Traktor Chelyabinsk,KHL,x,539,36,126,162,2,321
1999,1,18,Pittsburgh Penguins,Konstantin Koltsov\koltsko01,SU,RW,18,2006,Cherepovets,KHL,x,144,12,26,38,-42,50
2000,1,18,Pittsburgh Penguins,Brooks Orpik\orpikbr01,US,D,19,2019,Boston College,H-East,x,1035,18,176,194,79,972
2001,1,18,Los Angeles Kings,Jens Karlsson,SE,RW,18,,Vastra Frolunda,Sweden,,,,,,,
2002,1,18,Los Angeles Kings,Denis Grebeshkov\grebede01,SU,D,18,2014,Lokomotiv Yaroslavl,KHL,x,234,17,68,85,-18,114
2003,1,18,Washington Capitals,Eric Fehr\fehrer01,CA,RW,18,2019,Brandon,WHL,x,652,113,108,221,49,217
2004,1,18,Montreal Canadiens,Kyle Chipchura\chipcky01,CA,C,18,2016,Prince Albert,WHL,x,482,31,73,104,-45,376
2005,1,18,Nashville Predators,Ryan Parent\parenry01,CA,D,18,2011,Guelph,OHL,x,106,1,6,7,-18,36
1993,1,19,Toronto Maple Leafs,Landon Wilson\wilsola02,US,RW,18,2009,Dubuque,USHL,x,375,53,66,119,5,352
1994,1,19,Calgary Flames,Chris Dingman\dingmch01,CA,LW,18,2006,Brandon,WHL,x,385,15,19,34,-58,769
1995,1,19,Chicago Blackhawks,Dmitri Nabokov\nabokdm01,SU,C,18,2000,Krylja Sovetov,Russia,x,55,11,13,24,-5,28
1996,1,19,Edmonton Oilers,Matthieu Descoteaux\descoma01,CA,D,18,2001,Shawinigan,QMJHL,x,5,1,1,2,-2,4
