Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
1993,1,1,Ottawa Senators,Alexandre Daigle\daiglal02,CA,C,18,2006,Victoriaville,QMJHL,x,616,129,198,327,-176,186
1994,1,1,Florida Panthers,Ed Jovanovski\jovaned01,CA,D,18,2014,Windsor,OHL,x,1128,137,363,500,-86,1491
1995,1,1,Ottawa Senators,Bryan Berard\berarbr01,US,D,18,2008,Detroit,OHL,x,619,76,247,323,-98,500
1996,1,1,Ottawa Senators,Chris Phillips\phillch02,CA,D,18,2015,Prince Albert,WHL,x,1179,71,217,288,68,756
1997,1,1,Boston Bruins,Joe Thornton\thornjo01,CA,C,18,2020,Sault Ste. Marie,OHL,x,1636,420,1089,1509,186,1248
1998,1,1,Tampa Bay Lightning,Vincent Lecavalier\lecavvi01,CA,C,18,2016,Rimouski,QMJHL,x,1212,421,528,949,-140,848
1999,1,1,Atlanta Thrashers,Patrik Stefan\stefapa01,CS,C,18,2007,Long Beach,IHL,x,455,64,124,188,-36,158
2000,1,1,New York Islanders,Rick DiPietro\dipieri01,US,G,18,2013,Boston University,H-East,x,318,0,19,19,0,129
2001,1,1,Atlanta Thrashers,Ilya Kovalchuk\kovalil01,SU,LW,18,2020,Spartak Moscow,KHL,x,926,443,433,876,-146,544
2002,1,1,Columbus Blue Jackets,Rick Nash\nashri01,CA,LW,18,2018,London,OHL,x,1060,437,368,805,-11,750
2003,1,1,Pittsburgh Penguins,Marc-Andre Fleury\fleurma01,CA,G,18,2020,Cape Breton,QMJHL,x,847,0,17,17,0,74
2004,1,1,Washington Capitals,Alex Ovechkin\ovechal01,SU,LW,18,2020,Dynamo Moscow,Russia,x,1152,706,572,1278,82,719
2005,1,1,Pittsburgh Penguins,Sidney Crosby\crosbsi01,CA,C,18,2020,Rimouski,QMJHL,x,984,462,801,1263,175,673
1993,1,2,Hartford Whalers,Chris Pronger\prongch01,CA,D,18,2012,Peterborough,OHL,x,1167,157,541,698,183,1590
1994,1,2,Anaheim Ducks,Oleg Tverdovsky\tverdol01,SU,D,18,2007,Krylja Sovetov,Russia,x,713,77,240,317,-21,291
1995,1,2,New York Islanders,Wade Redden\reddewa01,CA,D,18,2013,Brandon,WHL,x,1023,109,348,457,160,665
1996,1,2,San Jose Sharks,Andrei Zyuzin\zyuzian01,SU,D,18,2008,Salavat Yulayev Ufa,KHL,x,496,38,82,120,-40,446
1997,1,2,San Jose Sharks,Patrick Marleau\marlepa01,CA,C,18,2020,Seattle,WHL,x,1723,562,626,1188,-18,517
1998,1,2,Nashville Predators,David Legwand\legwada01,US,C,18,2016,Plymouth,OHL,x,1136,228,390,618,7,551
1999,1,2,Vancouver Canucks,Daniel Sedin\sedinda01,SE,LW,18,2018,MoDo Ornskoldsvik,Sweden,x,1306,393,648,1041,147,546
2000,1,2,Atlanta Thrashers,Dany Heatley\heatlda01,DE,LW,19,2015,Wisconsin,WCHA,x,869,372,419,791,38,620
2001,1,2,Ottawa Senators,Jason Spezza\spezzja01,CA,C,18,2020,Windsor,OHL,x,1123,341,599,940,5,572
2002,1,2,Atlanta Thrashers,Kari Lehtonen\lehtoka01,FI,G,18,2018,Jokerit Helsinki,KHL,x,649,0,28,28,0,42
2003,1,2,Carolina Hurricanes,Eric Staal\staaler01,CA,C,18,2020,Peterborough,OHL,x,1240,436,585,1021,-48,818
2004,1,2,Pittsburgh Penguins,Evgeni Malkin\malkiev01,SU,C,18,2020,Magnitogorsk,KHL,x,907,416,660,1076,73,960
2005,1,2,Anaheim Ducks,Bobby Ryan\ryanbo01,US,LW,18,2020,Owen Sound,OHL,x,833,254,301,555,2,443
1993,1,3,Tampa Bay Lightning,Chris Gratton\grattch01,CA,C,18,2009,Kingston,OHL,x,1092,214,354,568,-143,1638
1994,1,3,Ottawa Senators,Radek Bonk\bonkra01,CS,C,18,2009,Las Vegas,IHL,x,969,194,303,497,-22,581
1995,1,3,Los Angeles Kings,Aki Berg\bergak01,FI,D,18,2006,Kiekko-67 Turku FIN,Finland-Jr.,x,606,15,70,85,-12,374
1996,1,3,New York Islanders,J.P. Dumont\dumonjp01,CA,RW,18,2011,Val d'Or,QMJHL,x,822,214,309,523,-2,364
1997,1,3,Los Angeles Kings,Olli Jokinen\jokinol01,FI,C,18,2015,HIFK Helsinki,Finland,x,1231,321,429,750,-132,1071
1998,1,3,San Jose Sharks,Brad Stuart\stuarbr02,CA,D,18,2016,Regina,WHL,x,1056,80,255,335,8,565
1999,1,3,Vancouver Canucks,Henrik Sedin\sedinhe01,SE,C,18,2018,MoDo Ornskoldsvik,Sweden,x,1330,240,830,1070,165,680
2000,1,3,Minnesota Wild,Marian Gaborik\gaborma01,CS,RW,18,2018,Dukla Trencin,Slovakia,x,1035,407,408,815,95,492
2001,1,3,Tampa Bay Lightning,Alexander Svitov\svitoal01,SU,C,18,2007,Avangard Omsk,KHL,x,179,13,24,37,-22,223
2002,1,3,Florida Panthers,Jay Bouwmeester\bouwmja01,CA,D,18,2020,Medicine Hat,WHL,x,1240,88,336,424,-17,635
2003,1,3,Florida Panthers,Nathan Horton\hortona01,CA,RW,18,2014,Oshawa,OHL,x,627,203,218,421,54,567
2004,1,3,Chicago Blackhawks,Cam Barker\barkeca01,CA,D,18,2013,Medicine Hat,WHL,x,310,21,75,96,-29,290
2005,1,3,Carolina Hurricanes,Jack Johnson\johnsja02,US,D,18,2020,U.S. National U-18,USNTDP,x,937,70,232,302,-114,521
1993,1,4,Anaheim Ducks,Paul Kariya\kariypa01,CA,LW,18,2010,U. of Maine,H-East,x,989,402,587,989,31,399
1994,1,4,Edmonton Oilers,Jason Bonsignore\bonsija01,US,C,18,1999,Niagara Falls,OHL,x,79,3,13,16,-22,34
1995,1,4,Anaheim Ducks,Chad Kilger\kilgech01,CA,LW,18,2008,Kingston,OHL,x,714,107,111,218,-44,363
